traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
偷偷摸摸,偷偷摸摸,tou1 tou1 mo1 mo1],surreptitious,sneaky,,,,,,,,,,,,,,,,
偷去,偷去,tou1 qu4],to steal,to make off with,stolen,,,,,,,,,,,,,,,
偷取,偷取,tou1 qu3],to steal,to abstract,to appropriate,,,,,,,,,,,,,,,
偷吃,偷吃,tou1 chi1],to eat on the sly,to pilfer food,to be unfaithful,,,,,,,,,,,,,,,
偷天換日,偷天换日,tou1 tian1 huan4 ri4],to engage in fraudulent activities (idiom),skulduggery,to hoodwink people,to cheat sb audaciously,,,,,,,,,,,,,,
偷安,偷安,tou1 an1],to shirk responsibility,thoughtless pleasure-seeking,,,,,,,,,,,,,,,,
偷工,偷工,tou1 gong1],to skimp on the job,to avoid work,,,,,,,,,,,,,,,,
偷工減料,偷工减料,tou1 gong1 jian3 liao4],to skimp on the job and stint on materials (idiom),jerry-building,sloppy work,,,,,,,,,,,,,,,
偷情,偷情,tou1 qing2],to carry on a clandestine love affair,,,,,,,,,,,,,,,,,
偷惰,偷惰,tou1 duo4],to skive off work,to be lazy,,,,,,,,,,,,,,,,
偷懶,偷懒,tou1 lan3],to goof off,to be lazy,,,,,,,,,,,,,,,,
偷拍,偷拍,tou1 pai1],to take a picture of a person without permission or without their knowledge,,,,,,,,,,,,,,,,,
偷梁換柱,偷梁换柱,tou1 liang2 huan4 zhu4],lit. to steal a rafter and replace it with a column,to replace the original with a fake,to perpetrate a fraud (idiom),,,,,,,,,,,,,,,
偷渡,偷渡,tou1 du4],illegal immigration,to stowaway (on a ship),to steal across the international border,to run a blockade,,,,,,,,,,,,,,
偷渡者,偷渡者,tou1 du4 zhe3],smuggled illegal alien,stowaway,,,,,,,,,,,,,,,,
偷漏,偷漏,tou1 lou4],to evade (taxes),,,,,,,,,,,,,,,,,
偷漢,偷汉,tou1 han4],(of a woman) to take a lover,,,,,,,,,,,,,,,,,
偷漢子,偷汉子,tou1 han4 zi5],(of a woman) to take a lover,,,,,,,,,,,,,,,,,
偷獵,偷猎,tou1 lie4],to poach,,,,,,,,,,,,,,,,,
偷獵者,偷猎者,tou1 lie4 zhe3],poacher,,,,,,,,,,,,,,,,,
偷生,偷生,tou1 sheng1],to live without purpose,,,,,,,,,,,,,,,,,
偷盜,偷盗,tou1 dao4],to steal,,,,,,,,,,,,,,,,,
偷看,偷看,tou1 kan4],to peep,to peek,to steal a glance,,,,,,,,,,,,,,,
偷眼,偷眼,tou1 yan3],to take a furtive look at,,,,,,,,,,,,,,,,,
偷稅,偷税,tou1 shui4],tax evasion,,,,,,,,,,,,,,,,,
偷窺,偷窥,tou1 kui1],to peep,to peek,to act as voyeur,,,,,,,,,,,,,,,
偷窺狂,偷窥狂,tou1 kui1 kuang2],voyeur,peeping tom,,,,,,,,,,,,,,,,
偷竊,偷窃,tou1 qie4],to steal,to pilfer,,,,,,,,,,,,,,,,
偷笑,偷笑,tou1 xiao4],to laugh up one's sleeve,,,,,,,,,,,,,,,,,
偷聽,偷听,tou1 ting1],to eavesdrop,to monitor (secretly),,,,,,,,,,,,,,,,
偷腥,偷腥,tou1 xing1],to cheat on one's spouse,to have an affair,,,,,,,,,,,,,,,,
偷襲,偷袭,tou1 xi2],to mount a sneak attack,to raid,,,,,,,,,,,,,,,,
偷運,偷运,tou1 yun4],to smuggle,,,,,,,,,,,,,,,,,
偷閑,偷闲,tou1 xian2],to snatch a moment of leisure,to take a break from work,also written 偷閒|偷闲,,,,,,,,,,,,,,,
偷閒,偷闲,tou1 xian2],to snatch a moment of leisure,to take a break from work,,,,,,,,,,,,,,,,
偷雞不成蝕把米,偷鸡不成蚀把米,tou1 ji1 bu4 cheng2 shi2 ba3 mi3],lit. to try to steal a chicken only to end up losing the rice used to lure it (idiom),fig. to try to gain an advantage only to end up worse off,to go for wool and come back shorn,,,,,,,,,,,,,,,
偷雞不著蝕把米,偷鸡不着蚀把米,tou1 ji1 bu4 zhao2 shi2 ba3 mi3],see 偷雞不成蝕把米|偷鸡不成蚀把米[tou1 ji1 bu4 cheng2 shi2 ba3 mi3],,,,,,,,,,,,,,,,,
偷雞摸狗,偷鸡摸狗,tou1 ji1 mo1 gou3],to imitate the dog and steal chicken (idiom); to dally with women,to have affairs,,,,,,,,,,,,,,,,
偷香竊玉,偷香窃玉,tou1 xiang1 qie4 yu4],lit. stolen scent pilfered jade (idiom); philandering,secret illicit sex,,,,,,,,,,,,,,,,
偸,偸,tou1],variant of 偷[tou1],,,,,,,,,,,,,,,,,
偺,咱,zan2],variant of 咱[zan2],,,,,,,,,,,,,,,,,
偽,伪,wei3],FALSE,fake,forged,bogus,Taiwan pr. [wei4],,,,,,,,,,,,,
偽代碼,伪代码,wei3 dai4 ma3],pseudocode,,,,,,,,,,,,,,,,,
偽劣,伪劣,wei3 lie4],inferior,FALSE,,,,,,,,,,,,,,,,
偽君子,伪君子,wei3 jun1 zi3],hypocrite,,,,,,,,,,,,,,,,,
偽善,伪善,wei3 shan4],hypocritical,,,,,,,,,,,,,,,,,
偽善者,伪善者,wei3 shan4 zhe3],hypocrite,,,,,,,,,,,,,,,,,
偽基百科,伪基百科,Wei3 ji1 bai3 ke1],Uncyclopedia (satirical website parodying Wikipedia),,,,,,,,,,,,,,,,,
偽幣,伪币,wei3 bi4],counterfeit currency,,,,,,,,,,,,,,,,,
偽托,伪托,wei3 tuo1],faking a modern object as an ancient one,,,,,,,,,,,,,,,,,
