反響,反响,fan3 xiang3],repercussions,reaction,echo,,,,,,,,,,,,,,,
反顧,反顾,fan3 gu4],to glance back,fig. to regret,to have second thoughts about sth,,,,,,,,,,,,,,,
反饋,反馈,fan3 kui4],to send back information,feedback,,,,,,,,,,,,,,,,
反駁,反驳,fan3 bo2],to retort,to refute,,,,,,,,,,,,,,,,
反高潮,反高潮,fan3 gao1 chao2],anticlimax,,,,,,,,,,,,,,,,,
反黨,反党,fan3 dang3],anti-party,,,,,,,,,,,,,,,,,
収,収,shou1],variant of 收[shou1],,,,,,,,,,,,,,,,,
叒,叒,ruo4],old variant of 若[ruo4],obedient,ancient mythical tree,,,,,,,,,,,,,,,
叔,叔,shu1],uncle,father's younger brother,husband's younger brother,Taiwan pr. [shu2],,,,,,,,,,,,,,
叔丈人,叔丈人,shu1 zhang4 ren2],wife's uncle,,,,,,,,,,,,,,,,,
叔丈母,叔丈母,shu1 zhang4 mu3],wife's aunt,,,,,,,,,,,,,,,,,
叔伯,叔伯,shu1 bai5],(of cousins) descending from the same grandfather or great-grandfather,,,,,,,,,,,,,,,,,
叔公,叔公,shu1 gong1],great uncle,grandfather's younger brother,husband's father's younger brother,,,,,,,,,,,,,,,
叔叔,叔叔,shu1 shu5],father's younger brother,uncle,Taiwan pr. [shu2 shu5],CL:個|个[ge4],,,,,,,,,,,,,,
叔婆,叔婆,shu1 po2],aunt by marriage,husband's aunt,husband's father's younger brother's wife,,,,,,,,,,,,,,,
叔子,叔子,shu1 zi5],brother-in-law,husband's younger brother,,,,,,,,,,,,,,,,
叔岳,叔岳,shu1 yue4],wife's uncle,,,,,,,,,,,,,,,,,
叔本華,叔本华,Shu1 ben3 hua2],Arthur Schopenhauer (1788-1860) German post-Kantian philosopher,,,,,,,,,,,,,,,,,
叔母,叔母,shu1 mu3],aunt,wife of father's younger brother,,,,,,,,,,,,,,,,
叔父,叔父,shu1 fu4],father's younger brother,uncle,,,,,,,,,,,,,,,,
叔祖,叔祖,shu1 zu3],grandfather's younger brother,,,,,,,,,,,,,,,,,
叔祖母,叔祖母,shu1 zu3 mu3],wife of paternal grandfather's younger brother,,,,,,,,,,,,,,,,,
叕,叕,zhuo2],to join together,to lack,narrow and shallow,,,,,,,,,,,,,,,
取,取,qu3],to take,to get,to choose,to fetch,,,,,,,,,,,,,,
取之不盡，用之不竭,取之不尽，用之不竭,qu3 zhi1 bu4 jin4 yong4 zhi1 bu4 jie2],limitless supply (of),inexhaustible,,,,,,,,,,,,,,,,
取代,取代,qu3 dai4],to replace,to supersede,to supplant,(chemistry) substitution,,,,,,,,,,,,,,
取保候審,取保候审,qu3 bao3 hou4 shen3],release from custody subject to provision of a surety pending investigation (PRC),,,,,,,,,,,,,,,,,
