traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
諠呼,喧呼,xuan1 hu1],to shout loudly,to bawl,to vociferate,rumpus,uproar,,,,,,,,,,,,,
諡,谥,shi4],posthumous name or title,to confer a posthumous title,,,,,,,,,,,,,,,,
諡號,谥号,shi4 hao4],posthumous name and title,,,,,,,,,,,,,,,,,
諢,诨,hun4],jest,nickname,,,,,,,,,,,,,,,,
諤,谔,e4],honest speech,,,,,,,,,,,,,,,,,
諦,谛,di4],to examine,truth (Buddhism),,,,,,,,,,,,,,,,
諦聽,谛听,di4 ting1],to listen carefully,,,,,,,,,,,,,,,,,
諦視,谛视,di4 shi4],to look carefully,,,,,,,,,,,,,,,,,
諧,谐,xie2],harmonious,,,,,,,,,,,,,,,,,
諧劇,谐剧,xie2 ju4],Xieju opera (ballad and dancing monologue popular in Sichuan),,,,,,,,,,,,,,,,,
諧和,谐和,xie2 he2],concordant,harmonious,,,,,,,,,,,,,,,,
諧婉,谐婉,xie2 wan3],mild and harmonious,,,,,,,,,,,,,,,,,
諧戲,谐戏,xie2 xi4],to joke,,,,,,,,,,,,,,,,,
諧振,谐振,xie2 zhen4],resonance,sympathetic vibration,,,,,,,,,,,,,,,,
諧振動,谐振动,xie2 zhen4 dong4],harmonic oscillation (e.g. sound wave),,,,,,,,,,,,,,,,,
諧振子,谐振子,xie2 zhen4 zi3],harmonic oscillator (physics),,,,,,,,,,,,,,,,,
諧波,谐波,xie2 bo1],harmonic (wave with frequency an integer multiple of the fundamental),,,,,,,,,,,,,,,,,
諧稱,谐称,xie2 cheng1],humorous nickname,,,,,,,,,,,,,,,,,
諧美,谐美,xie2 mei3],harmonious and graceful,,,,,,,,,,,,,,,,,
諧談,谐谈,xie2 tan2],joking,humorous talk,,,,,,,,,,,,,,,,
