1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
得票率,得票率,de2 piao4 lu:4],percentage of votes obtained,,,,,,,,,,,,,,,,,
得罪,得罪,de2 zui4],to commit an offense,to violate the law,excuse me! (formal),see also 得罪[de2 zui5],,,,,,,,,,,,,,
得罪,得罪,de2 zui5],to offend somebody,to make a faux pas,a faux pas,see also 得罪[de2 zui4],,,,,,,,,,,,,,
得而復失,得而复失,de2 er2 fu4 shi1],to lose what one has just obtained (idiom),,,,,,,,,,,,,,,,,
得色,得色,de2 se4],pleased with oneself,,,,,,,,,,,,,,,,,
得著,得着,de2 zhao2],to obtain,,,,,,,,,,,,,,,,,
得虧,得亏,dei3 kui1],luckily,fortunately,,,,,,,,,,,,,,,,
得要,得要,dei3 yao4],to need,must,,,,,,,,,,,,,,,,
得誌,得志,de2 zhi4],to accomplish one's ambition,a dream come true,to enjoy success,,,,,,,,,,,,,,,
得證,得证,de2 zheng4],to obtain a proof,Q.E.D.,,,,,,,,,,,,,,,,
得逞,得逞,de2 cheng3],to prevail,to have one's way,to get away with it,,,,,,,,,,,,,,,
得過且過,得过且过,de2 guo4 qie3 guo4],satisfied just to get through (idiom); to muddle through,without high ambitions but getting by,,,,,,,,,,,,,,,,
得道,得道,de2 dao4],to achieve the Dao,to become an immortal,,,,,,,,,,,,,,,,
得道多助,得道多助,de2 dao4 duo1 zhu4],a just cause enjoys abundant support (idiom); those upholding justice will find help all around,,,,,,,,,,,,,,,,,
得道多助，失道寡助,得道多助，失道寡助,de2 dao4 duo1 zhu4 shi1 dao4 gua3 zhu4],A just cause attracts much support an unjust one finds little (idiom from Mencius),,,,,,,,,,,,,,,,,
得隴望蜀,得陇望蜀,de2 Long3 wang4 Shu3],lit. covet Sichuan once Gansu has been seized,fig. endless greed,insatiable desire,,,,,,,,,,,,,,,
得饒人處且饒人,得饶人处且饶人,de2 rao2 ren2 chu4 qie3 rao2 ren2],where it is possible to let people off one should spare them (idiom); anyone can make mistakes forgive them when possible,,,,,,,,,,,,,,,,,
得體,得体,de2 ti3],appropriate to the occasion,fitting,,,,,,,,,,,,,,,,
得魚忘筌,得鱼忘筌,de2 yu2 wang4 quan2],lit. catch fish then forget the trap (idiom from Zhuangzi 莊子|庄子); fig. to take help for granted,,,,,,,,,,,,,,,,,
徘,徘,pai2],irresolute,,,,,,,,,,,,,,,,,
徘徊,徘徊,pai2 huai2],to dither,to hesitate,to pace back and forth,by ext. to hover around,to linger,,,,,,,,,,,,,
徙,徙,xi3],(literary) to change one's residence,,,,,,,,,,,,,,,,,
徜,徜,chang2],sit cross-legged,walk back and forth,,,,,,,,,,,,,,,,
徜徉,徜徉,chang2 yang2],to wander about unhurriedly,to linger,to loiter,,,,,,,,,,,,,,,
從,从,Cong2],surname Cong,,,,,,,,,,,,,,,,,
從,从,cong2],from,through,via,to follow,to obey,to engage in (an activity),never (in negative sentence),(Taiwan pr. [zong4]) retainer,assistant,accomplice,related by common paternal grandfather or earlier ancestor,,,,,,,
從,从,zong4],second cousin,,,,,,,,,,,,,,,,,
從一而終,从一而终,cong2 yi1 er2 zhong1],faithful unto death (i.e. Confucian ban on widow remarrying),,,,,,,,,,,,,,,,,
從不,从不,cong2 bu4],never,,,,,,,,,,,,,,,,,
從中,从中,cong2 zhong1],from within,therefrom,,,,,,,,,,,,,,,,
從事,从事,cong2 shi4],to go for,to engage in,to undertake,to deal with,to handle,to do,,,,,,,,,,,,
從事研究,从事研究,cong2 shi4 yan2 jiu1],to do research,to carry out research,,,,,,,,,,,,,,,,
從井救人,从井救人,cong2 jing3 jiu4 ren2],to jump into a well to rescue sb else (idiom); fig. to help others at the risk to oneself,,,,,,,,,,,,,,,,,
從何,从何,cong2 he2],whence?,where from?,,,,,,,,,,,,,,,,
從來,从来,cong2 lai2],always,at all times,never (if used in negative sentence),,,,,,,,,,,,,,,
從來不,从来不,cong2 lai2 bu4],never,,,,,,,,,,,,,,,,,
從來沒,从来没,cong2 lai2 mei2],never,,,,,,,,,,,,,,,,,
從來沒有,从来没有,cong2 lai2 mei2 you3],have never,never before,,,,,,,,,,,,,,,,
從優,从优,cong2 you1],preferential treatment,most favored terms,,,,,,,,,,,,,,,,
從先,从先,cong2 xian1],(dialect) before,in the past,previously,,,,,,,,,,,,,,,
從前,从前,cong2 qian2],previously,formerly,once upon a time,,,,,,,,,,,,,,,
從動,从动,cong2 dong4],#NAME?,slave (wheel pulley),,,,,,,,,,,,,,,,
從化,从化,Cong2 hua4],Conghua county level city in Guangzhou 廣州|广州[Guang3 zhou1] Guangdong,,,,,,,,,,,,,,,,,
從化市,从化市,Cong2 hua4 shi4],Conghua county level city in Guangzhou 廣州|广州[Guang3 zhou1] Guangdong,,,,,,,,,,,,,,,,,
從句,从句,cong2 ju4],clause,,,,,,,,,,,,,,,,,
從命,从命,cong2 ming4],to obey an order,to comply,to do sb's bidding,to do as requested,,,,,,,,,,,,,,
從善如流,从善如流,cong2 shan4 ru2 liu2],readily following good advice (idiom); willing to accept other people's views,,,,,,,,,,,,,,,,,
從善如登，從惡如崩,从善如登，从恶如崩,cong2 shan4 ru2 deng1 cong2 e4 ru2 beng1],doing good is like a hard climb doing evil is like an easy fall (idiom),,,,,,,,,,,,,,,,,
從嚴,从严,cong2 yan2],strict,rigorous,severely,,,,,,,,,,,,,,,
