1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
數碼照相機,数码照相机,shu4 ma3 zhao4 xiang4 ji1],digital camera,,,,,,,,,,,,,,,,,
數碼相機,数码相机,shu4 ma3 xiang4 ji1],digital camera,,,,,,,,,,,,,,,,,
數碼通,数码通,Shu4 ma3 tong1],SmarTone-Vodafone (Hong Kong and Macau company),,,,,,,,,,,,,,,,,
數種,数种,shu4 zhong3],numerous types,many kinds,,,,,,,,,,,,,,,,
數組,数组,shu4 zu3],(computing) array,,,,,,,,,,,,,,,,,
數萬,数万,shu4 wan4],several tens of thousands,many thousand,,,,,,,,,,,,,,,,
數落,数落,shu3 luo5],to enumerate sb's shortcomings,to criticize,to scold,to talk on and on,,,,,,,,,,,,,,
數見不鮮,数见不鲜,shuo4 jian4 bu4 xian1],a common occurrence (idiom),,,,,,,,,,,,,,,,,
數詞,数词,shu4 ci2],numeral,,,,,,,,,,,,,,,,,
數論,数论,shu4 lun4],number theory (math.),,,,,,,,,,,,,,,,,
數軸,数轴,shu4 zhou2],number line,,,,,,,,,,,,,,,,,
數週,数周,shu4 zhou1],several weeks,,,,,,,,,,,,,,,,,
數量,数量,shu4 liang4],amount,quantity,CL:個|个[ge4],quantitative,,,,,,,,,,,,,,
數量分析,数量分析,shu4 liang4 fen1 xi1],quantitative analysis,,,,,,,,,,,,,,,,,
數量積,数量积,shu4 liang4 ji1],scalar product (of vectors),,,,,,,,,,,,,,,,,
數量級,数量级,shu4 liang4 ji2],order of magnitude,,,,,,,,,,,,,,,,,
數量詞,数量词,shu4 liang4 ci2],numeral-classifier compound (e.g. 一次、三套、五本 etc),,,,,,,,,,,,,,,,,
數額,数额,shu4 e2],amount,sum of money,fixed number,,,,,,,,,,,,,,,
數黃道黑,数黄道黑,shu3 huang2 dao4 hei1],to enumerate what is black and yellow (idiom); to criticize sb behind his back to incite quarrels,also written 數黑論黃|数黑论黄[shu3 hei1 lun4 huang2],,,,,,,,,,,,,,,,
數黑論白,数黑论白,shu3 hei1 lun4 bai2],to enumerate what is black and yellow (idiom); to criticize sb behind his back to incite quarrels,also written 數黑論黃|数黑论黄[shu3 hei1 lun4 huang2],,,,,,,,,,,,,,,,
數黑論黃,数黑论黄,shu3 hei1 lun4 huang2],to enumerate what is black and yellow (idiom); to criticize sb behind his back to incite quarrels,,,,,,,,,,,,,,,,,
數點,数点,shu3 dian3],to count,to itemize,,,,,,,,,,,,,,,,
敹,敹,liao2],keep tidy and repaired,sew,,,,,,,,,,,,,,,,
敺,驱,qu1],variant of 驅|驱[qu1],,,,,,,,,,,,,,,,,
敻,敻,Xiong4],surname Xiong,,,,,,,,,,,,,,,,,
敽,敽,jiao3],old variant of 敿[jiao3],,,,,,,,,,,,,,,,,
敿,敿,jiao3],tie up (laces),,,,,,,,,,,,,,,,,
斁,斁,yi4],to be weary of,,,,,,,,,,,,,,,,,
斂,敛,lian3],to hold back,to restrain,to control (oneself),to collect,Taiwan pr. [lian4],,,,,,,,,,,,,
斂,敛,lian4],variant of 殮|殓[lian4],,,,,,,,,,,,,,,,,
斂巴,敛巴,lian3 ba5],(dialect) to gather (sth),,,,,,,,,,,,,,,,,
斂步,敛步,lian3 bu4],to restrain motion,to check one's step,,,,,,,,,,,,,,,,
斂衽,敛衽,lian3 ren4],old-fashioned women's obeisance,Taiwan pr. [lian4 ren4],,,,,,,,,,,,,,,,
斂財,敛财,lian3 cai2],to accumulate wealth,to rake in money,,,,,,,,,,,,,,,,
斂跡,敛迹,lian3 ji4],to refrain,to give up evil (temporarily),to cover one's traces,to lie low,to retire (from view),,,,,,,,,,,,,
斂錢,敛钱,lian3 qian2],to collect money,to raise funds (for charity),,,,,,,,,,,,,,,,
斃,毙,bi4],to die,to shoot dead,to reject,to fall forward,(suffix) to death,,,,,,,,,,,,,
斃命,毙命,bi4 ming4],to meet violent death,to get killed,,,,,,,,,,,,,,,,
斄,斄,Tai2],ancient place name (a Han dynasty town in Shaanxi),variant of 邰[Tai2],,,,,,,,,,,,,,,,
文,文,Wen2],surname Wen,,,,,,,,,,,,,,,,,
文,文,wen2],language,culture,writing,formal,literary,gentle,(old) classifier for coins,Kangxi radical 67,,,,,,,,,,
文不加點,文不加点,wen2 bu4 jia1 dian3],to write a flawless essay in one go (idiom),to be quick-witted and skilled at writing compositions,,,,,,,,,,,,,,,,
文不對題,文不对题,wen2 bu4 dui4 ti2],irrelevant,beside the point,,,,,,,,,,,,,,,,
文人,文人,wen2 ren2],scholar,literati,,,,,,,,,,,,,,,,
文人相輕,文人相轻,wen2 ren2 xiang1 qing1],scholars tend to disparage one another (idiom),,,,,,,,,,,,,,,,,
文以載道,文以载道,wen2 yi3 zai4 dao4],words of truth,moral expressed in words,written article explaining a moral,,,,,,,,,,,,,,,
文件,文件,wen2 jian4],document,file,CL:份[fen4],,,,,,,,,,,,,,,
文件大小,文件大小,wen2 jian4 da4 xiao3],file size,,,,,,,,,,,,,,,,,
文件夾,文件夹,wen2 jian4 jia1],folder,file (paper),,,,,,,,,,,,,,,,
文件服務器,文件服务器,wen2 jian4 fu2 wu4 qi4],file server,,,,,,,,,,,,,,,,,
文件格式,文件格式,wen2 jian4 ge2 shi4],file format,,,,,,,,,,,,,,,,,
文具,文具,wen2 ju4],stationery,item of stationery (pen pencil eraser pencil sharpener etc),,,,,,,,,,,,,,,,
文具商,文具商,wen2 ju4 shang1],stationer,,,,,,,,,,,,,,,,,
文具店,文具店,wen2 ju4 dian4],stationery store,,,,,,,,,,,,,,,,,
文創產業,文创产业,wen2 chuang4 chan3 ye4],creative industries (design music publishing etc),abbr. for 文化創意產業|文化创意产业,,,,,,,,,,,,,,,,
文化,文化,wen2 hua4],culture,civilization,cultural,CL:個|个[ge4]種|种[zhong3],,,,,,,,,,,,,,
文化交流,文化交流,wen2 hua4 jiao1 liu2],cultural exchange,,,,,,,,,,,,,,,,,
文化傳統,文化传统,wen2 hua4 chuan2 tong3],cultural tradition,,,,,,,,,,,,,,,,,
文化史,文化史,wen2 hua4 shi3],cultural history,,,,,,,,,,,,,,,,,
文化圈,文化圈,wen2 hua4 quan1],sphere of cultural influence,,,,,,,,,,,,,,,,,
文化城,文化城,wen2 hua4 cheng2],city of culture,,,,,,,,,,,,,,,,,
文化大革命,文化大革命,Wen2 hua4 Da4 ge2 ming4],Cultural Revolution (1966-1976),,,,,,,,,,,,,,,,,
文化宮,文化宫,wen2 hua4 gong1],cultural palace,,,,,,,,,,,,,,,,,
文化層,文化层,wen2 hua4 ceng2],culture level (in archaeological site),,,,,,,,,,,,,,,,,
文化水平,文化水平,wen2 hua4 shui3 ping2],educational level,,,,,,,,,,,,,,,,,
文化熱,文化热,wen2 hua4 re4],cultural fever,cultural craze,,,,,,,,,,,,,,,,
文化衝擊,文化冲击,wen2 hua4 chong1 ji1],culture shock,,,,,,,,,,,,,,,,,
文化遺產,文化遗产,wen2 hua4 yi2 chan3],cultural heritage,,,,,,,,,,,,,,,,,
文化障礙,文化障碍,wen2 hua4 zhang4 ai4],cultural barrier,,,,,,,,,,,,,,,,,
文史,文史,wen2 shi3],literature and history,,,,,,,,,,,,,,,,,
文告,文告,wen2 gao4],written statement,proclamation,announcement,,,,,,,,,,,,,,,
文員,文员,wen2 yuan2],office worker,clerk,,,,,,,,,,,,,,,,
文墨,文墨,wen2 mo4],writing,culture,,,,,,,,,,,,,,,,
文壇,文坛,wen2 tan2],literary circles,,,,,,,,,,,,,,,,,
文士,文士,wen2 shi4],literati,scholar,,,,,,,,,,,,,,,,
文天祥,文天祥,Wen2 Tian1 xiang2],Wen Tianxiang (1236-1283) Song dynasty politician and poet folk hero in resisting Mongol invasion in Jiangxi in 1275,,,,,,,,,,,,,,,,,
文如其人,文如其人,wen2 ru2 qi2 ren2],the writing style mirrors the writer (idiom),,,,,,,,,,,,,,,,,
文娛,文娱,wen2 yu2],cultural recreation,entertainment,,,,,,,,,,,,,,,,
文字,文字,wen2 zi4],character,script,writing,written language,writing style,phraseology,CL:個|个[ge4],,,,,,,,,,,
文字學,文字学,wen2 zi4 xue2],philology,,,,,,,,,,,,,,,,,
文字學家,文字学家,wen2 zi4 xue2 jia1],expert on writing systems,,,,,,,,,,,,,,,,,
文字改革,文字改革,wen2 zi4 gai3 ge2],reform of the writing system,,,,,,,,,,,,,,,,,
文字檔,文字档,wen2 zi4 dang4],text file,,,,,,,,,,,,,,,,,
文字獄,文字狱,wen2 zi4 yu4],literary inquisition,official persecution of intellectuals for their writing,,,,,,,,,,,,,,,,
文字處理,文字处理,wen2 zi4 chu3 li3],word processing,,,,,,,,,,,,,,,,,
文學,文学,wen2 xue2],literature,CL:種|种[zhong3],,,,,,,,,,,,,,,,
文學博士,文学博士,wen2 xue2 bo2 shi4],Doctor of Letters,,,,,,,,,,,,,,,,,
文學史,文学史,wen2 xue2 shi3],history of literature,,,,,,,,,,,,,,,,,
文學士,文学士,wen2 xue2 shi4],Bachelor of Arts,B.A.,BA,A.B.,Artium Baccalaureus,,,,,,,,,,,,,
文學家,文学家,wen2 xue2 jia1],writer,man of letters,CL:個|个[ge4],,,,,,,,,,,,,,,
文學巨匠,文学巨匠,wen2 xue2 ju4 jiang4],literary master,,,,,,,,,,,,,,,,,
文安,文安,Wen2 an1],Wen'an county in Langfang 廊坊[Lang2 fang2] Hebei,,,,,,,,,,,,,,,,,
文安縣,文安县,Wen2 an1 xian4],Wen'an county in Langfang 廊坊[Lang2 fang2] Hebei,,,,,,,,,,,,,,,,,
文宗,文宗,Wen2 zong1],Wenzong Emperor reign name of Yuan Dynasty emperor Tugh Temür (1304-1332) reigned 1328-1332,,,,,,,,,,,,,,,,,
文宗,文宗,wen2 zong1],sb whose calligraphy serves as a model,,,,,,,,,,,,,,,,,
文宣,文宣,wen2 xuan1],promotional material,propaganda,,,,,,,,,,,,,,,,
文宣部,文宣部,wen2 xuan1 bu4],propaganda department,,,,,,,,,,,,,,,,,
文山,文山,Wen2 shan1],Wenshan county in Wenshan Zhuang and Miao autonomous prefecture 文山壯族苗族自治州|文山壮族苗族自治州[Wen2 shan1 Zhuang4 zu2 Miao2 zu2 zi4 zhi4 zhou1] Yunnan,Wenshan district of Taipei City 臺北市|台北市[Tai2 bei3 shi4] Taiwan,,,,,,,,,,,,,,,,
文山區,文山区,Wen2 shan1 qu1],Wenshan district of Taipei City 臺北市|台北市[Tai2 bei3 shi4] Taiwan,,,,,,,,,,,,,,,,,
文山壯族苗族自治州,文山壮族苗族自治州,Wen2 shan1 Zhuang4 zu2 Miao2 zu2 zi4 zhi4 zhou1],Wenshan Zhuang and Miao autonomous prefecture in Yunnan 雲南|云南,,,,,,,,,,,,,,,,,
文山州,文山州,Wen2 shan1 zhou1],abbr. for 文山壯族苗族自治州|文山壮族苗族自治州[Wen2 shan1 Zhuang4 zu2 Miao2 zu2 zi4 zhi4 zhou1] Wenshan Zhuang and Miao autonomous prefecture in Yunnan 雲南|云南,,,,,,,,,,,,,,,,,
文山會海,文山会海,wen2 shan1 hui4 hai3],a mountain of paperwork and a sea of meetings (idiom),,,,,,,,,,,,,,,,,
文山線,文山线,Wen2 shan1 xian4],Taipei Metro Wenshan Line (known as the Muzha Line 木柵線|木栅线[Mu4 zha4 xian4] prior to October 8 2009),,,,,,,,,,,,,,,,,
文山縣,文山县,Wen2 shan1 xian4],Wenshan county in Wenshan Zhuang and Miao autonomous prefecture 文山壯族苗族自治州|文山壮族苗族自治州[Wen2 shan1 Zhuang4 zu2 Miao2 zu2 zi4 zhi4 zhou1] Yunnan,,,,,,,,,,,,,,,,,
文峰,文峰,Wen2 feng1],Wenfeng district of Anyang city 安陽市|安阳市[An1 yang2 shi4] Henan,,,,,,,,,,,,,,,,,
文峰區,文峰区,Wen2 feng1 qu1],Wenfeng district of Anyang city 安陽市|安阳市[An1 yang2 shi4] Henan,,,,,,,,,,,,,,,,,
文峰鎮,文峰镇,Wen2 feng1 zhen4],Wenfeng town (common place name),,,,,,,,,,,,,,,,,
文庫,文库,wen2 ku4],collection of documents,library,book series,sequence of data esp. genome,,,,,,,,,,,,,,
文康,文康,Wen2 Kang1],Wen Kang (mid-19th century) Manchu-born novelist author of The Gallant Maid 兒女英雄傳|儿女英雄传[Er2 nu:3 Ying1 xiong2 Zhuan4],,,,,,,,,,,,,,,,,
文康活動,文康活动,wen2 kang1 huo2 dong4],cultural and recreational activities (Tw),,,,,,,,,,,,,,,,,
文彙報,文汇报,Wen2 hui4 Bao4],Wen Wei Po (Hong Kong newspaper),Wenhui News (Shanghai newspaper),,,,,,,,,,,,,,,,
文徵明,文征明,Wen2 Zheng1 ming2],Wen Zhengming (1470-1559) Ming painter one of Four great southern talents of the Ming 江南四大才子,,,,,,,,,,,,,,,,,
文思,文思,wen2 si1],the train of thought in writing,,,,,,,,,,,,,,,,,
文憑,文凭,wen2 ping2],diploma,,,,,,,,,,,,,,,,,
文成,文成,Wen2 cheng2],Wencheng county in Wenzhou 溫州|温州[Wen1 zhou1] Zhejiang,,,,,,,,,,,,,,,,,
文成縣,文成县,Wen2 cheng2 xian4],Wencheng county in Wenzhou 溫州|温州[Wen1 zhou1] Zhejiang,,,,,,,,,,,,,,,,,
文房四寶,文房四宝,wen2 fang2 si4 bao3],Four Treasures of the Study namely 筆|笔[bi3] 墨[mo4] 紙|纸[zhi3] and 硯|砚[yan4],the essentials of calligraphy and scholarship (idiom),,,,,,,,,,,,,,,,
文抄公,文抄公,wen2 chao1 gong1],plagiarist,,,,,,,,,,,,,,,,,
文摘,文摘,wen2 zhai1],digest (of literature),to make a digest (of data),summary,,,,,,,,,,,,,,,
文教,文教,wen2 jiao4],culture and education,,,,,,,,,,,,,,,,,
文旦,文旦,wen2 dan4],pomelo,,,,,,,,,,,,,,,,,
文昌,文昌,Wen2 chang1],Wenchang City Hainan,,,,,,,,,,,,,,,,,
文昌市,文昌市,Wen2 chang1 shi4],Wenchang City Hainan,,,,,,,,,,,,,,,,,
文昌魚,文昌鱼,wen2 chang1 yu2],lancelet (Branchiostoma lanceolatum) a primitive fish,,,,,,,,,,,,,,,,,
文明,文明,wen2 ming2],civilized,civilization,culture,CL:個|个[ge4],,,,,,,,,,,,,,
文明化,文明化,wen2 ming2 hua4],civilize,,,,,,,,,,,,,,,,,
文明小史,文明小史,Wen2 ming2 Xiao3 shi3],Short History of Civilization late Qing novel by Li Boyuan 李伯元[Li3 Bo2 yuan2] or Li Baojia 李寶嘉|李宝嘉[Li3 Bao3 jia1] describing the turmoil after the 1900 Eight-Nation Alliance 八國聯軍|八国联军[Ba1 guo2 Lian2 jun1],,,,,,,,,,,,,,,,,
文明病,文明病,wen2 ming2 bing4],lifestyle diseases,,,,,,,,,,,,,,,,,
文書,文书,wen2 shu1],document,official correspondence,secretary,secretariat,,,,,,,,,,,,,,
文書處理,文书处理,wen2 shu1 chu3 li3],dealing with red tape,paperwork,(Tw) word processing,,,,,,,,,,,,,,,
文本,文本,wen2 ben3],version,text,,,,,,,,,,,,,,,,
文本編輯器,文本编辑器,wen2 ben3 bian1 ji2 qi4],text editor,,,,,,,,,,,,,,,,,
文檔,文档,wen2 dang4],(computer) file,,,,,,,,,,,,,,,,,
文檔對象模型,文档对象模型,Wen2 dang4 Dui4 xiang4 Mo2 xing2],Document Object Model (DOM),,,,,,,,,,,,,,,,,
文武,文武,wen2 wu3],civil and military,,,,,,,,,,,,,,,,,
文武合一,文武合一,wen2 wu3 he2 yi1],civilians and the military (working) hand in hand (idiom),,,,,,,,,,,,,,,,,
文武百官,文武百官,wen2 wu3 bai3 guan1],civil and military officials,,,,,,,,,,,,,,,,,
文武雙全,文武双全,wen2 wu3 shuang1 quan2],well versed in letters and military technology (idiom); fine scholar and soldier,master of pen and sword,,,,,,,,,,,,,,,,
文殊,文殊,Wen2 shu1],Manjushri the Bodhisattva of keen awareness,,,,,,,,,,,,,,,,,
文殊師利菩薩,文殊师利菩萨,Wen2 shu1 shi1 li4 Pu2 sa4],Manjushri the Bodhisattva of keen awareness,,,,,,,,,,,,,,,,,
文殊菩薩,文殊菩萨,Wen2 shu1 Pu2 sa4],Manjushri the Bodhisattva of keen awareness,,,,,,,,,,,,,,,,,
文氣,文气,wen2 qi4],the impact of a piece of writing on the reader,gentle,refined,,,,,,,,,,,,,,,
文水,文水,Wen2 shui3],Wenshui county in Lüliang 呂梁|吕梁[Lu:3 liang2] Shanxi 山西,,,,,,,,,,,,,,,,,
文水縣,文水县,Wen2 shui3 xian4],Wenshui county in Lüliang 呂梁|吕梁[Lu:3 liang2] Shanxi 山西,,,,,,,,,,,,,,,,,
文江學海,文江学海,wen2 jiang1 xue2 hai3],river of literacy sea of learning (idiom); ars longa vita brevis,,,,,,,,,,,,,,,,,
文治武功,文治武功,wen2 zhi4 wu3 gong1],political and military achievements (idiom),,,,,,,,,,,,,,,,,
文法,文法,wen2 fa3],grammar,,,,,,,,,,,,,,,,,
文火,文火,wen2 huo3],small flame (when cooking simmering etc),,,,,,,,,,,,,,,,,
文牒,文牒,wen2 die2],official document,,,,,,,,,,,,,,,,,
文牘,文牍,wen2 du2],paperwork,official documents and letters,(old) secretary,,,,,,,,,,,,,,,
文牘主義,文牍主义,wen2 du2 zhu3 yi4],red tape,,,,,,,,,,,,,,,,,
文物,文物,wen2 wu4],cultural relic,historical relic,CL:件[jian4]個|个[ge4],,,,,,,,,,,,,,,
文物徑,文物径,wen2 wu4 jing4],heritage trail,,,,,,,,,,,,,,,,,
文獻,文献,wen2 xian4],document,,,,,,,,,,,,,,,,,
文獻學,文献学,wen2 xian4 xue2],Philology,Historical Linguistics,,,,,,,,,,,,,,,,
文理,文理,wen2 li3],arts and sciences,,,,,,,,,,,,,,,,,
文登,文登,Wen2 deng1],Wendeng county level city in Weihai 威海 Shandong,,,,,,,,,,,,,,,,,
文登市,文登市,Wen2 deng1 shi4],Wendeng county level city in Weihai 威海 Shandong,,,,,,,,,,,,,,,,,
文盲,文盲,wen2 mang2],illiterate,,,,,,,,,,,,,,,,,
文石,文石,wen2 shi2],aragonite (geology),,,,,,,,,,,,,,,,,
文科,文科,wen2 ke1],liberal arts,humanities,,,,,,,,,,,,,,,,
文科學士,文科学士,wen2 ke1 xue2 shi4],Bachelor of Arts B.A.,,,,,,,,,,,,,,,,,
文秘,文秘,wen2 mi4],secretary,,,,,,,,,,,,,,,,,
文種,文种,Wen2 Zhong3],Wen Zhong (-467 BC) adviser to the state of Yue during Spring and Autumn period,,,,,,,,,,,,,,,,,
文稿,文稿,wen2 gao3],manuscript,article (in newspaper),draft,,,,,,,,,,,,,,,
文章,文章,wen2 zhang1],article,essay,literary works,writings,hidden meaning,CL:篇[pian1]段[duan4]頁|页[ye4],,,,,,,,,,,,
文童,文童,wen2 tong2],a person studying for the imperial examinations,,,,,,,,,,,,,,,,,
文竹,文竹,wen2 zhu2],setose asparagus,,,,,,,,,,,,,,,,,
文筆,文笔,wen2 bi3],writings,writing style,,,,,,,,,,,,,,,,
文約,文约,wen2 yue1],contract,written agreement,,,,,,,,,,,,,,,,
文縐縐,文绉绉,wen2 zhou1 zhou1],bookish,genteel,erudite,,,,,,,,,,,,,,,
文縣,文县,Wen2 xian4],Wen county in Longnan 隴南|陇南[Long3 nan2] Gansu,,,,,,,,,,,,,,,,,
文聖區,文圣区,Wen2 sheng4 qu1],Wensheng district of Liaoyang city 遼陽市|辽阳市[Liao2 yang2 shi4] Liaoning,,,,,,,,,,,,,,,,,
文聯,文联,Wen2 lian2],abbr. for 中國文學藝術界聯合會|中国文学艺术界联合会 China Federation of Literary and Art Circles (CFLAC),,,,,,,,,,,,,,,,,
文職,文职,wen2 zhi2],civilian post (as opposed to military),civil service,administration,,,,,,,,,,,,,,,
文胸,文胸,wen2 xiong1],bra,,,,,,,,,,,,,,,,,
文臣,文臣,wen2 chen2],civilian court official (in former times),,,,,,,,,,,,,,,,,
文苑,文苑,wen2 yuan4],the literary world,,,,,,,,,,,,,,,,,
文苑英華,文苑英华,Wen2 yuan4 Ying1 hua2],Finest Blossoms in the Garden of Literature Song dynasty collection of poetry odes songs and writings compiled during 982-986 under Li Fang 李昉[Li3 Fang3] Xu Xuan 徐鉉|徐铉[Xu2 Xuan4] Song Bai 宋白[Song4 Bai2] and Su Yijian 蘇易簡|苏易简[Su1 Yi4 jian3] 1000 scrolls,,,,,,,,,,,,,,,,,
文萊,文莱,Wen2 lai2],Brunei Darussalam independent sultanate in northwest Borneo,,,,,,,,,,,,,,,,,
文萊達魯薩蘭國,文莱达鲁萨兰国,Wen2 lai2 Da2 lu3 sa4 lan2 guo2],Brunei Darussalam,,,,,,,,,,,,,,,,,
文藝,文艺,wen2 yi4],literature and art,,,,,,,,,,,,,,,,,
文藝作品,文艺作品,wen2 yi4 zuo4 pin3],literary work,art work,,,,,,,,,,,,,,,,
文藝兵,文艺兵,wen2 yi4 bing1],PLA military personnel who specialize in literary or artistic pursuits,,,,,,,,,,,,,,,,,
文藝復興,文艺复兴,Wen2 yi4 fu4 xing1],the Renaissance,,,,,,,,,,,,,,,,,
文藝演出,文艺演出,wen2 yi4 yan3 chu1],theatrical performance,CL:場|场[chang3],,,,,,,,,,,,,,,,
文蛤,文蛤,wen2 ge2],clam,bivalve mollusc many spp.,,,,,,,,,,,,,,,,
文言,文言,wen2 yan2],classical Chinese,,,,,,,,,,,,,,,,,
文言文,文言文,wen2 yan2 wen2],classical Chinese,,,,,,,,,,,,,,,,,
文謅謅,文诌诌,wen2 zhou1 zhou1],bookish,genteel,erudite,,,,,,,,,,,,,,,
文讀,文读,wen2 du2],literary (rather than colloquial) pronunciation of a Chinese character,,,,,,,,,,,,,,,,,
文豪,文豪,wen2 hao2],literary giant,great writer,eminent writer,,,,,,,,,,,,,,,
文責自負,文责自负,wen2 ze2 zi4 fu4],the author takes sole responsibility for the views expressed here (disclaimer),,,,,,,,,,,,,,,,,
文質彬彬,文质彬彬,wen2 zhi4 bin1 bin1],refined in manner,gentle,,,,,,,,,,,,,,,,
文身,文身,wen2 shen1],to tattoo,,,,,,,,,,,,,,,,,
文辭,文辞,wen2 ci2],language,words,,,,,,,,,,,,,,,,
文過飾非,文过饰非,wen2 guo4 shi4 fei1],to cover up one's faults (idiom),to whitewash,,,,,,,,,,,,,,,,
文選,文选,wen2 xuan3],compilation,selected works,,,,,,,,,,,,,,,,
文部,文部,Wen2 bu4],Wenbu or Ombu village in Nyima county 尼瑪縣|尼玛县[Ni2 ma3 xian4] Nagchu prefecture central Tibet,Tang dynasty equivalent of 吏部 personnel office,,,,,,,,,,,,,,,,
文部省,文部省,Wen2 bu4 sheng3],Ministry of Education Science and Culture (Japan) ceased to exist in 2001 when it was merged with another ministry,,,,,,,,,,,,,,,,,
文部鄉,文部乡,Wen2 bu4 xiang1],Wenbu or Ombu village in Nyima county 尼瑪縣|尼玛县[Ni2 ma3 xian4] Nagchu prefecture central Tibet,,,,,,,,,,,,,,,,,
文采,文采,wen2 cai3],literary talent,literary grace,rich and bright colors,,,,,,,,,,,,,,,
文錦渡,文锦渡,Wen2 Jin3 Du4],Man Kam To (place in Hong Kong),,,,,,,,,,,,,,,,,
文雅,文雅,wen2 ya3],elegant,refined,,,,,,,,,,,,,,,,
文集,文集,wen2 ji2],collected works,,,,,,,,,,,,,,,,,
文青,文青,wen2 qing1],young person who adopts an artistic or intellectual style,abbr. for 文藝青年|文艺青年,,,,,,,,,,,,,,,,
文靜,文静,wen2 jing4],(of a person's manner or character) gentle and quiet,,,,,,,,,,,,,,,,,
文面,文面,wen2 mian4],to tattoo the face,face tattoo,to brand (ancient punishment),,,,,,,,,,,,,,,
文革,文革,Wen2 ge2],Cultural Revolution (1966-76),abbr. for 文化大革命[Wen2 hua4 Da4 ge2 ming4],,,,,,,,,,,,,,,,
文風,文风,wen2 feng1],writing style,,,,,,,,,,,,,,,,,
文風不動,文风不动,wen2 feng1 bu4 dong4],absolutely still,fig. not the slightest change,also written 紋風不動|纹风不动,,,,,,,,,,,,,,,
文飾,文饰,wen2 shi4],to polish a text,rhetoric,ornate language,to use florid language to conceal errors,to gloss over,,,,,,,,,,,,,
文體,文体,wen2 ti3],genre of writing,literary form,style,literary recreation and sporting activities,,,,,,,,,,,,,,
文鬚雀,文须雀,wen2 xu1 que4],(bird species of China) bearded reedling (Panurus biarmicus),,,,,,,,,,,,,,,,,
斈,斈,xue2],variant of 學|学[xue2],,,,,,,,,,,,,,,,,
斉,斉,qi2],old variant of 齊|齐[qi2],,,,,,,,,,,,,,,,,
斌,斌,bin1],variant of 彬[bin1],,,,,,,,,,,,,,,,,
斎,斎,zhai1],Japanese variant of 齋|斋[zhai1],,,,,,,,,,,,,,,,,
斐,斐,Fei3],surname Fei,,,,,,,,,,,,,,,,,
斐,斐,fei3],phonetic fei or fi,elegant,phi (Greek letter Φ φ),,,,,,,,,,,,,,,
斐波那契,斐波那契,Fei3 bo1 na4 qi4],Leonardo Fibonacci (c. 1170-1250) Italian mathematician,,,,,,,,,,,,,,,,,
斐濟,斐济,Fei3 ji4],Fiji (tropical volcanic island in southwest Pacific),,,,,,,,,,,,,,,,,
斐濟島,斐济岛,Fei3 ji4 Dao3],Fiji,,,,,,,,,,,,,,,,,
斐然,斐然,fei3 ran2],(literary) remarkable,brilliant,,,,,,,,,,,,,,,,
斐理伯,斐理伯,Fei3 li3 bo2],Philip,,,,,,,,,,,,,,,,,
斐理伯書,斐理伯书,Fei3 li3 bo2 shu1],Epistle of St Paul to the Philipians,,,,,,,,,,,,,,,,,
斐迪南,斐迪南,Fei3 di2 nan2],Ferdinand (name),,,,,,,,,,,,,,,,,
斑,斑,ban1],spot,colored patch,stripe,spotted,striped,variegated,,,,,,,,,,,,
斑剝,斑剥,ban1 bo1],mottled and peeling off in places,,,,,,,,,,,,,,,,,
斑喉希鶥,斑喉希鹛,ban1 hou2 xi1 mei2],(bird species of China) bar-throated minla (Minla strigula),,,,,,,,,,,,,,,,,
斑嘴鴨,斑嘴鸭,ban1 zui3 ya1],(bird species of China) eastern spot-billed duck (Anas zonorhyncha),,,,,,,,,,,,,,,,,
斑嘴鵜鶘,斑嘴鹈鹕,ban1 zui3 ti2 hu2],(bird species of China) spot-billed pelican (Pelecanus philippensis),,,,,,,,,,,,,,,,,
斑塊,斑块,ban1 kuai4],patch,spot,(medicine) plaque,,,,,,,,,,,,,,,
斑姬啄木鳥,斑姬啄木鸟,ban1 ji1 zhuo2 mu4 niao3],(bird species of China) speckled piculet (Picumnus innominatus),,,,,,,,,,,,,,,,,
斑姬鶲,斑姬鹟,ban1 ji1 weng1],(bird species of China) European pied flycatcher (Ficedula hypoleuca),,,,,,,,,,,,,,,,,
斑尾塍鷸,斑尾塍鹬,ban1 wei3 cheng2 yu4],(bird species of China) bar-tailed godwit (Limosa lapponica),,,,,,,,,,,,,,,,,
斑尾林鴿,斑尾林鸽,ban1 wei3 lin2 ge1],(bird species of China) common wood pigeon (Columba palumbus),,,,,,,,,,,,,,,,,
斑尾榛雞,斑尾榛鸡,ban1 wei3 zhen1 ji1],(bird species of China) Chinese grouse (Tetrastes sewerzowi),,,,,,,,,,,,,,,,,
斑尾鵑鳩,斑尾鹃鸠,ban1 wei3 juan1 jiu1],(bird species of China) barred cuckoo-dove (Macropygia unchall),,,,,,,,,,,,,,,,,
斑岩,斑岩,ban1 yan2],porphyry (geology),,,,,,,,,,,,,,,,,
斑文鳥,斑文鸟,ban1 wen2 niao3],(bird species of China) scaly-breasted munia (Lonchura punctulata),,,,,,,,,,,,,,,,,
斑斑,斑斑,ban1 ban1],full of stains or spots,,,,,,,,,,,,,,,,,
斑斕,斑斓,ban1 lan2],gorgeous,brightly colored,multi-colored,,,,,,,,,,,,,,,
